   ,CHANGED,INTERNAL CODE,ENGLISH,ENGLISH HEALTH,ENGLISH PERSONNEL,NETHERLANDS,NL HEALTH,NL PERSONNEL,NORWEGIAN,NOR HEALTH,NOR PERSONNEL,SWEDISH,SWE HEALTH,SWE PERSONNEL,KINESISK,KIN HELSE,KIN PERSONELL,DEBUG,DEBUG HEALTH,DEBUG PERSONELL,GERMAN,GERMAN HEALTH,GERMAN PERSONELL,,
,,findit.label.rules.activate.key.avl_prop_name,Name of property,,,,,,Navn på egenskap,,,Namn på egenskap,,,,,,422,,,,,,,
,,findit.label.rules.activate.key.avl_prop_avail,Value if available,,,,,,Verdi hvis tilgjengelig,,,Värde vid tillgänglighet,,,,,,423,,,,,,,
,,findit.label.rules.activate.key.avl_prop_unavail,Value if unavailable,,,,,,Verdi hvis utilgjengelig,,,Värde vid otillgänglighet,,,,,,424,,,,,,,
,,findit.label.rules.activate.key.avl_timeout,Timeout (seconds),,,,,,,,,,,,,,,425,,,,,,,
,,,,,,,,,,,,,,,,,,426,,,,,,,
,,Tag Management - Generic rule,,,,,,,,,,,,,,,,427,,,,,,,
150,30/5/2012,findit.rule.title.asset_tag_event,Tag Management,,,Label beheer,,,Tag Handtering,,,Hantering av taggar,,,标签管理,,,428,,,Tag-Verwaltung,,,,
150,30/5/2012,findit.rule.description.asset_tag_event,This rule add or remove tags from assets,This rule add or remove tags from persons,,Deze regel voegt labels toe aan of haalt ze weg van objecten,,,Denne regelen legger til eller fjerner merkelapper fra personer eller utstyr,,,Denna regeln lägger till eller tar bort taggar från personer eller föremål,,,此规则添加或删除资产标签,此规则添加或删除标签的人,,429,,,Diese Regel fügt Tags Objekten hinzu oder entfernt sie.,,,,
150,30/5/2012,findit.rule.activation.asset_tag_event,The rule is configured to add or remove asset tags from all assets belonging to this account. Standard constraints can be applied to the rule.,The rule is configured to add or remove asset tags from all persions belonging to this account. Standard constraints can be applied to the rule.,,Deze regel voegt labels toe aan of haalt ze weg van objecten,,,Denne er konfigurert til å legge til eller fjerne merkelapper på alle personer eller utstyr som tilhører kontoen. Standard begrensinger kan bli brukt på denne regelen.,,,Denna regeln är inställd till att lägga till eller ta bort etiketter från personer eller föremål som tillhör kontot.,,,规则配置中添加或删除资产标签的所有资产属于此帐户。 标准的约束可以应用的规则。,规则被配置为从所有persions属于此帐户的资产标签添加或删除。 标准的约束可以应用的规则。,,430,,,Diese Regel fügt Tags Objekten hinzu oder entfernt sie.,,,,
,,,,,,,,,,,,,,,,,,431,,,,,,,
,,Button_pressed_specific,,,,,,,,,,,,,,,,432,,,,,,,
150,31/05/2012,findit.label.rules.activate.key.button_no.any,All,,,Alle,,,Alle,,,Alla knappar,,,所有,,,433,,,Alle,,,,
150,31/05/2012,findit.label.rules.activate.key.button_no.0,Button 0,,,Knop 0,,,Knapp 0,,,Knapp 0,,,按钮0,,,434,,,Knopf 0,,,,
150,31/05/2012,findit.label.rules.activate.key.button_no.1,Button 1,,,Knop 1,,,Knapp 1,,,Knapp 1,,,按钮1,,,435,,,Knopf 1,,,,
150,31/05/2012,findit.label.rules.activate.key.button_no.2,Button 2,,,Knop 2,,,Knapp 2,,,Knapp 2,,,按钮2,,,436,,,Knopf 2,,,,
,,,,,,,,,,,,,,,,,,437,,,,,,,
,,Sport_Add_Asset_To_List_Zone_Out_Lap,,,,,,,,,,,,,,,,438,,,,,,,
,,findit.rule.title.sport_add_person_to_list_zone_out_lap,Add Assets to list with lap counter when an asset leaves a zone,,,,,,Legg deltakere til liste med rundenummer ved soneutgang,,,Lägg till deltagare till lista med varvnummer,,,,,,439,,,Objekte mit Rundenzählung hinzufügen,,,,
,,findit.rule.description.sport_add_person_to_list_zone_out_lap,Add assets of an asset group to an asset list when the asset leaves a specific zone. The lap property is incremented such that the name of the list contains the lap number. This rule is used when a person leaves the same zone more times.,,,,,,Legger deltakere av en gruppe til en liste når en deltaker forlater en sone. Personen har lagret runde nummer som legges til navnet på listen. Det skapes en ny liste for hver runde. ,,,Lägger till deltagaren från gruppen till en lista. Personen har ett sparat varvnummer som läggs till i namnet på listan. Det skapas en ny lista vid varje runda.,,,,,,440,,,Fügt die Objekte der angegebenen Objektgruppe einer angegebenen Objektliste hinzu,,,,
,,findit.rule.activation.sport_add_person_to_list_zone_out_lap,The field ''Asset Property Name'' is the name of the asset property that contains the lap counter. The rule creates a list name that consists of ''Asset List Name'' and the lap count number. ,,,,,,Feltet ''Navn på egenskap'' er navnet på egenskapen for deltakeren som inneholder rundenummeret. Dette rundenummeret kan bli øket av en annen regel. Deltakeren må tilhøre en gruppe og deltakerens tyep være valgt i ''Begrensninger'',,,Fältet ''Namn på egenskap'' är namnet på egenskapen som innehåller varvnumret. Detta varvnummer kan ökas av en annan regel. Deltagaren måste  tillhöra en grupp och deltagarens typ måste vara vald i ''Begränsningar''.,,,,,,441,,,"Das Feld ''Objekteigenschaftname'' ist der Name der Objekteigenschaft, die den Rundenzähler behinhaltet. Die Regel erstellt einen Listennamen, der aus dem Objektlistennamen und dem Rundenzähler besteht.",,,,
,,Sport_Add_Asset_To_List_Lap,,,,,,,,,,,,,,,,442,,,,,,,
,,findit.rule.title.sport_add_person_to_list_lap,Add Assets to list with lap counter when an asset enter a zone,,,Objecten met rondentelling toevoegen,,,Legg deltakere til liste med rundenummer ved soneinngang,,,Lägg till deltagare till lista med varvnummer,,,,,,443,,,Objekte mit Rundenzählung hinzufügen,,,,
,,findit.rule.description.sport_add_person_to_list_lap,Add assets of an asset group to an asset list when the asset enter a specific zone. The lap property is incremented such that the name of the list contains the lap number. This rule is used when a person leaves the same zone more times.,,,Voegt de objecten van de opgegeven objecten groep toe aan een opgegeven objecten lijst.,,,Legger deltakere av en gruppe til en liste. Personen har lagret runde nummer som legges til navnet på listen. Det skapes en ny liste for hver runde. ,,,Lägger till deltagaren från gruppen till en lista. Personen har ett sparat varvnummer som läggs till i namnet på listan. Det skapas en ny lista vid varje runda.,,,,,,444,,,Fügt die Objekte der angegebenen Objektgruppe einer angegebenen Objektliste hinzu,,,,
,,findit.rule.activation.sport_add_person_to_list_lap,The field ''Asset Property Name'' is the name of the asset property that contains the lap counter. The rule creates a list name that consists of ''Asset List Name'' and the lap count number. ,,,,,,Feltet ''Navn på egenskap'' er navnet på egenskapen for deltakeren som inneholder rundenummeret. Dette rundenummeret kan bli øket av en annen regel. Deltakeren må tilhøre en gruppe og deltakerens tyep være valgt i ''Begrensninger'',,,Fältet ''Namn på egenskap'' är namnet på egenskapen som innehåller varvnumret. Detta varvnummer kan ökas av en annan regel. Deltagaren måste  tillhöra en grupp och deltagarens typ måste vara vald i ''Begränsningar''.,,,,,,445,,,"Das Feld ''Objekteigenschaftname'' ist der Name der Objekteigenschaft, die den Rundenzähler behinhaltet. Die Regel erstellt einen Listennamen, der aus dem Objektlistennamen und dem Rundenzähler besteht.",,,,
,,findit.label.rules.activate.key.seconds,Seconds,,,Seconden,,,Sekunder,,,Sekunder,,,,,,446,,,Sekunden,,,,
,,findit.label.rules.activate.key.list_name,Asset List Name,,,Object lijst naam,,,Navn på liste,,,Namn på lista,,,,,,447,,,Objektlistenname,,,,
,,findit.label.rules.activate.key.asset_type_property,Asset Property Name ,,,Object eigenschap naam,,,Navn på egenskap,,,Namn på egenskap,,,,,,448,,,Objekteigenschaftenname,,,,
,,,,,,,,,,,,,,,,,,449,,,,,,,
,,sport_increment_zones_visited,,,,,,,,,,,,,,,,450,,,,,,,
,,findit.rule.title.sport_increment_zones_visited,Increment the number of posts visited ,,,,,,Telle antall besøkte soner,,,,,,,,,451,,,,,,,
,,findit.rule.description.sport_increment_zones_visited,This rule counts the number of zones visited,,,,,,Denne regelen øker antall besøkte soner når personen eller gjenstanden går inn i en sone,,,,,,,,,452,,,,,,,
,,findit.rule.activation.sport_increment_zones_visited,The field ''Asset Property Name'' is the name of the asset property that contains the number of zones visited. The rule increments the number of zones visited every time a zone of the ''zone type'' is visited.,,,,,,Feltet ''Navn på egenskap'' er navnet på egenskapen for deltakeren som inneholder antall soner deltakeren har besøkt. Dette antallet vil bli økt med en hver gang deltakeren besøker en sone av den spesifiserte ''Sone-typen'',,,,,,,,,453,,,,,,,
,,add_zone_points_to_points,,,,,,,,,,,,,,,,454,,,,,,,
,,findit.rule.title.add_zone_points_to_points,Count collected zone points ,,,,,,Telle antall sonepoeng,,,,,,,,,455,,,,,,,
,,findit.rule.description.add_zone_points_to_points,This rule counts the number of zones points collected,,,,,,Denne regelen teller antall sonepoeng når personen eller gjenstanden går inn i en sone med tilhørende poenger,,,,,,,,,456,,,,,,,
,,findit.rule.activation.add_zone_points_to_points,The field ''Asset Property Name'' is the name of the asset property that contains the number of zones points collected. The rule adds the zone points specified by the visited zone to the collected points every time a zone of the ''zone type'' is visited.,,,,,,Feltet ''Navn på egenskap'' er navnet på egenskapen for deltakeren som inneholder antall poeng som deltakeren har samlet. Denne summen vil bli økt tillagt sonepoengene hver gang deltakeren besøker en sone av den spesifiserte ''Sone-typen'' med tilhørende antall poeng.,,,,,,,,,457,,,,,,,
,,Sport_Add_Asset_To_List_Lap,,,,,,,,,,,,,,,,458,,,,,,,
,,findit.rule.title.sport_increment_lap,Increment Lap Counter,,,Verhoog de rondeteller,,,Øke rundenummeret,,,Öka varvnumret,,,,,,459,,,Den Rundenzähler hochsetzen,,,,
,,findit.rule.description.sport_increment_lap,Increment the lap counter. The asset group and asset type has to be specified. This rule works together with rule  ''Add Assets to list with lap counter'',,,Verhoog de rondeteller. De objectgroep en objecttype moeten gedefineerd worden. Deze regel werkt samen met de regel ''Objecten met rondentelling toevoegen'',,,Øker deltakerens av en gruppe sitt rundenummer med en. Deltakeren må ha definert en egenskap som lagrer rundenummeret.,,,Ökar deltagaren av en grupps varvnummer med ett. Deltagaren måste ha definierat en egenskap som sparar varvnumret.,,,,,,460,,,Den Rundenzähler hochsetzen. Die Objektgruppe und der Objekttyp müssen definiert werden. Diese Regel wirkt zusammen mit der Regel ''Objekte mit Rundenzählung hinzufügen'',,,,
,,findit.rule.activation.sport_increment_lap,Specify the asset group and asset type under constraints. Specify the attribute name of the asset that contains the lap counter and the zone the assets will enter.,,,Onder de beperkingen de Object groep en type aangeven. Geef het attribuut naam en de naam van het object dat de rondeteller bevat en de zone waar het object in gaat aan.,,,"Spesifiser gruppen og type person under ''Begrensninger''. Spesifiser gruppe det gjelder, navnet på egenskapen som inneholder rundetelleren og hvilken zone dom deltakeren vil gå inn i.",,,"Specificerar gruppen och persontypen under ''Begränsningar''. Specificerar gruppen det gäller, namnet på egenskapen som innehåller varvräknaren och vilken zon deltagarna kommer gå in i.",,,,,,461,,,"Unter den Beschränkungen die Objektgruppe und den Objekttyp anpassen. Die Zielzone und den Attributnamen des Objektes angeben, das den Rundenzähler enthält.",,,,
,,,,,,,,,,,,,,,,,,462,,,,,,,
,,Sport_enter_zone_interval,,,,,,,,,,,,,,,,463,,,,,,,
,,findit.rule.title.sport_enter_zone_interval,Set reporting interval entering a zone,,,,,,Sett posisjonsrapporteringsinterval ved soneinngang,,,Sätt rapporteringsintervall för position vid zoningång,,,,,,464,,,,,,,
,,findit.rule.description.sport_enter_zone_interval,Set reporting interval when entering a zone,,,,,,Når en deltaker går inn i en sone settes rapporteringsintervalet fra enheten,,,När en deltagare går in i en zon så sätts rapporteringsintervallet från enheten.,,,,,,465,,,,,,,
,,findit.rule.activation.sport_enter_zone_interval,Specify the interval for sending and interval for measurment of the position of the device. A zone has to be selected.,,,,,,Velg interval for hvor ofte enheten skal måle posisjonen og hvor ofte posisjonene skal rapportes til server. En sone må velges.,,,Välj intervall för hur ofta enheten skall visa positionen och hur ofta positionen skall rapporteras till server. En zon måste väljas.,,,,,,466,,,,,,,
,,,,,,,,,,,,,,,,,,467,,,,,,,
,,Sport_exit_zone_interval,,,,,,,,,,,,,,,,468,,,,,,,
,,findit.rule.title.sport_exit_zone_interval,Set reporting interval leaving a zone,,,,,,Sett posisjonsrapporteringinterval ved soneutgang,,,Sätt rapporteringsintervall för position vid zonutgång,,,,,,469,,,,,,,
,,findit.rule.description.sport_exit_zone_interval,Set reporting interval when entering a zone,,,,,,Når en deltaker går ut av i en sone settes rapporteringsintervalet fra enheten,,,Sätt rapporteringsintervall vid inträde till en zon,,,,,,470,,,,,,,
,,findit.rule.activation.sport_exit_zone_interval,Specify the interval for sending and interval for measurment of the position of the device. A zone has to be selected.,,,,,,Velg interval for hvor ofte enheten skal måle posisjonen og hvor ofte posisjonene skal rapportes til server. En sone må velges.,,,Välj intervall för hur ofta enheten skall visa positionen och hur ofta positionen skall rapporteras till server. En zon måste väljas.,,,,,,471,,,,,,,
,,,,,,,,,,,,,,,,,,472,,,,,,,
,,findit.rule.title.TunnelCounter,Tunnel Counter,,,,,,Tunnelteller,,,Tunnelräknare,,,,,,473,,,,,,,
,,findit.rule.description.TunnelCounter,This rule counts the number of cars that enters and leaves a tunnel,,,,,,Denne regelen teller antall biler inne i en tunnel.,,,Denna regeln räknar antalet bilar som åker in och ut ur en tunnel,,,,,,474,,,,,,,
,,findit.label.rules.activate.key.threshold,Threshold,,,,,,Grense,,,,,,,,,475,,,,,,,
,,findit.rule.activation.TunnelCounter,Specify the number of cars inside the tunnel when the rule shall raise alarm.,,,,,,Spesifier antall biler inne i tunnellen når denne regelen skal gi alarm.,,,Secificera antalet bilar i tunneln när regeln ska larma,,,,,,476,,,,,,,
,,,,,,,,,,,,,,,,,,477,,,,,,,
,,findit.rule.title.device_events,Device events,,,,,,Enhetshendelser,,,Enhetshändelser,,,设备事件,,,478,,,,,,,
,,findit.rule.description.device_events,A generic rule for running actions when specific device events occurs.,,,,,,En generell regel for å kjøre handlinger når en spesifisert hendelse blir rapportert fra enheten.,,,En generell regel för att köra handlingar när en specifik händelse rapporteras från enheten.,,,,,,479,,,,,,,
,,findit.rule.activation.device_events,Select one of the events specified in the list and set up the action to be performed.,,,,,,Velg en av hendelsene i listen og velg hvilke aksjoner som skal utføres.,,,Välj en av händelserna i listan och välj vilka handlingar som skall utföras.,,,,,,480,,,,,,,
,,findit.label.rules.activate.key.device_event,Event,,,,,,Hendelse,,,Händelse,,,,,,481,,,,,,,
,,,,,,,,,,,,,,,,,,482,,,,,,,
,,findit.label.rules.activate.key.device_event.chargerOn,Battery Charger On,,,,,,Lading av batteri påbegynt,,,Batteriladdning På,,,开始充电,,,483,,,,,,,
,,findit.label.rules.activate.key.device_event.chargerOff,Battery Charger Off,,,,,,Stopp i lading av batteri,,,Batteriladdning Av,,,充电结束,,,484,,,,,,,
,,findit.label.rules.activate.key.device_event.fall,Fall,,,,,,Fall,,,Fall,,,摔倒,,,485,,,,,,,
,,findit.label.rules.activate.key.device_event.motion,Motion,,,,,,Bevegelse,,,Rörelse,,,移动,,,486,,,,,,,
,,findit.label.rules.activate.key.device_event.powerOn,Power On,,,,,,Spenning på,,,Ström På,,,开机,,,487,,,,,,,
,,findit.label.rules.activate.key.device_event.powerOff,Power Off,,,,,,Spenning av,,,Ström Av,,,关机,,,488,,,,,,,
,,findit.label.rules.activate.key.device_event.batteryOk,Battery OK,,,,,,Batteri ok,,,Batteri OK,,,电池OK,,,489,,,,,,,
,,findit.label.rules.activate.key.low_battery_event.lowBatteryAccessory,Battery Accessory Low,,,,,,Lenke batteri lav spenning,,,Låg batterinivå,,,电池电量低,,,488,,,,,,,
,,findit.label.rules.activate.key.low_battery_event.lowBatteryBeacon,Beacon Battery Low,,,,,,Beacon batteri lav spenning,,,,,,,,,489,,,,,,,
,,findit.label.rules.activate.key.low_battery_event,Choose Battery Event,,,,,,Valg av batterihendelse,,,,,,,,,490,,,,,,,
,,findit.label.rules.activate.key.low_battery_event.lowBattery,Battery Low,,,,,,Batteri lav spenning,,,,,,,,,490,,,,,,,
,,findit.label.rules.activate.key.device_event.lowBattery,Battery Low,,,,,,Batteri lav spenning,,,,,,,,,490,,,,,,,
,,findit.label.rules.activate.key.device_event.backupBatteryStartCharging,Backup Battery Start Charging,,,,,,Lading av reservebatteri påbegynt,,,Laddning av reservbatteri har påbörjats,,,备用电池开始充电,,,491,,,,,,,
,,findit.label.rules.activate.key.device_event.backupBatteryStopCharging,Backup Battery Stopp Charging,,,,,,Stopp i lading av reservebatteri,,,Laddning av reservbatteri har avslutats,,,备用电池停止充电,,,492,,,,,,,
,,findit.label.rules.activate.key.device_event.backupBatteryLow,Backup Battery Low,,,,,,Lav spenning på reservebatteri,,,Låg reservbatterinivå,,,备用电池电量低,,,493,,,,,,,
,,findit.label.rules.activate.key.device_event.connectingPowerSupply,Connecting Power Supply,,,,,,Strømforskyning tilkoblet,,,Strömförsörjning tillkopplad,,,连接电源,,,494,,,,,,,
,,findit.label.rules.activate.key.device_event.disconnectingPowerSupply,Disconnecting Power Supply,,,,,,Strømforskyning frakoblet,,,Strömförsörjning Frånkopplad,,,断开电源,,,495,,,,,,,
,,findit.label.rules.activate.key.device_event.tempAlarm,Temperature alarm,,,,,,Temperatur alarm,,,Temperaturlarm,,,温度高,,,496,,,,,,,
,,findit.label.rules.activate.key.device_event.stationary,Stationary,,,,,,Ingen bevegelse,,,,,,静止的,,,497,,,,,,,
,,findit.label.rules.activate.key.device_event.outsideGeofence,Exit zone,,,,,,Ut av sone,,,,,,出区域,,,498,,,,,,,
,,findit.label.rules.activate.key.device_event.insideGeofence,Enter zone,,,,,,Inn i sone,,,,,,进区域,,,499,,,,,,,
,,findit.label.rules.activate.key.device_event.geofence,Geofence,,,,,,Inn / ut av sone,,,,,,地理围栏,,,500,,,,,,,
,,findit.label.rules.activate.key.device_event.GTGEO,GTGEO - Geofence from sensor,,,,,,GTGEO - Geofence fra sensor,,,,,,,,,501,,,,,,,
,,findit.label.rules.activate.key.device_event.GTSTT,GTSTT - Device motion state is changed ,,,,,,GTSTT - Bevegelse status endret,,,,,,,,,502,,,,,,,
,,findit.label.rules.activate.key.device_event.GTNMR,GTNMR - Device from rest to motion or opposite,,,,,,GTNMR - Enhet fra hvile til bevegelse eller motsatt,,,,,,,,,503,,,,,,,
,,findit.label.rules.activate.key.device_event.GTPOR,GTPOR - USER button GT500,,,,,,GTPOR - USER knapp GT500,,,,,,,,,504,,,,,,,
,,findit.label.rules.activate.key.device_event.GTTOW,GTTOW - Device motion state is changed  without ignition on,,,,,,GTTOW - Bevegelse status endret uten tenning på,,,,,,,,,505,,,,,,,
,,findit.label.rules.activate.key.device_event.GTSOA,GTSOA - Shell is opened (digital in/output),,,,,,GTSOA - Shell er åpnet (digital inn/utgang),,,,,,,,,506,,,,,,,
,,findit.label.rules.activate.key.device_event.GTBPL,GTBPL - Battery Low Percent,,,,,,GTBPL - Batteri Lav Prosent,,,,,,,,,507,,,,,,,
,,findit.label.rules.activate.key.device_event.GTPLA,GTPLA - Battery Low Percent (GT300),,,,,,GTPLA - Batteri Lav Prosent (GT300),,,,,,,,,508,,,,,,,
,,findit.label.rules.activate.key.device_event.GTDIS,GTDIS - Digital input,,,,,,GTDIS - Digital input ,,,,,,,,,509,,,,,,,
,,findit.label.rules.activate.key.device_event.GTIGN,GTIGN - Ignition on ,,,,,,GTIGN - Tenning på ,,,,,,,,,510,,,,,,,
,,findit.label.rules.activate.key.device_event.GTIGF,GTIGF - Ignition off ,,,,,,GTIGF - Tenning på ,,,,,,,,,511,,,,,,,
,,findit.label.rules.activate.key.device_event.GTIOB,GTIOB - Digital Event,,,,,,,,,,,,,,,512,,,,,,,
,,findit.label.rules.activate.key.device_event.GTPFA,GTPFA - Power off,,,,,,GTPFA - Skrudd av,,,,,,,,,513,,,,,,,
,,findit.label.rules.activate.key.device_event.GTPNA,GTPNA - Power on,,,,,,GTPNA - Skrudd på,,,,,,,,,514,,,,,,,
,,findit.label.rules.activate.key.device_event.GTPBA1,GTPBA1 - Button1 (GT300),,,,,,GTPBA1 - Knapp1 (GT300),,,,,,,,,515,,,,,,,
,,findit.label.rules.activate.key.device_event.GTPBA2,GTPBA2 - Button2 (GT300),,,,,,GTPBA2 - Knapp2 (GT300),,,,,,,,,516,,,,,,,
,,findit.label.rules.activate.key.device_event.GTPBA3,GTPBA3 - Button3 (GT300),,,,,,GTPBA3 - Knapp3 (GT300),,,,,,,,,517,,,,,,,
,,findit.label.rules.activate.key.device_event.GTPBA4,GTPBA4 - Button4 (GT300),,,,,,GTPBA4 - Knapp4 (GT300),,,,,,,,,518,,,,,,,
,,findit.label.rules.activate.key.device_event.GTSPD,GTSPD - Speed alarm,,,,,,GTSPD - Hastighet alarm,,,,,,,,,519,,,,,,,
,,findit.label.rules.activate.key.device_event.GTOPF,GTOPF - Disconnecting OBDII (GV500),,,,,,GTOPF - Frakoblet OBDII (GV500),,,,,,,,,520,,,,,,,
,,findit.label.rules.activate.key.device_event.GTOPN,GTOPN - Connecting OBDII (GV500),,,,,,GTOPN - Tilkoblet OBDII (GV500),,,,,,,,,521,,,,,,,
,,findit.label.rules.activate.key.device_event.GTAIS,GTAIS - Analog input alarm,,,,,,GTAIS - Analog input alarm,,,,,,,,,522,,,,,,,
,,findit.label.rules.activate.key.device_event.GTEPS,GTEPS - External power supply alarm,,,,,,GTEPS - Ekstern strømtilførsel alarm,,,,,,,,,523,,,,,,,
,,findit.label.rules.activate.key.device_event.GTSOS,GTSOS - SOS alarm,,,,,,GTSOS - SOS alarm,,,,,,,,,524,,,,,,,
,,findit.label.rules.activate.key.device_event.GTLGL,GTLGL - Last known GPS location,,,,,,GTLGL - Sist kjente GPS lokasjon,,,,,,,,,525,,,,,,,
,,findit.rule.title.device_security_events,Security Events,,,,,,Sikkerhetshendelser,,,,,,,,,526,,,,,,,
,,findit.rule.description.device_security_events,A generic rule for running actions when specific security related device events occurs.,,,,,,En generell regel for å kjøre handlinger når en  sikkerhets relatert hendelse blir rapportert fra enheten.,,,,,,,,,527,,,,,,,
,,findit.rule.activation.device_security_events,Select one of the events specified in the list and set up the action to be performed.,,,,,,Velg en av hendelsene i listen og velg hvilke aksjoner som skal utføres.,,,,,,,,,528,,,,,,,
,,findit.rule.title.safetyalarm_event,Safety Events,,,,,,Sikkerhetshendelser,,,,,,,,,529,,,,,,,
,,findit.rule.description.safetyalarm_event,A generic rule for running actions when specific safety related device events occurs.,,,,,,En generell regel for å kjøre handlinger når en  sikkerhets relatert hendelse blir rapportert fra enheten.,,,,,,,,,530,,,,,,,
,,findit.rule.activation.safetyalarm_event,Select one of the events specified in the list and set up the action to be performed.,,,,,,Velg en av hendelsene i listen og velg hvilke aksjoner som skal utføres.,,,,,,,,,531,,,,,,,
,,TTNet average walk speed,,,,,,,,,,,,,,,,532,,,,,,,
,,findit.rule.title.AverageWalkSpeed,Calculate average walk speed,,,,,,,,,,,,,,,533,,,,,,,
,,findit.rule.description.AverageWalkSpeed,This rule calculates the average walk speed for reported speed in the range between maximum speed and minimum speed.,,,,,,,,,,,,,,,534,,,,,,,
,,findit.rule.activation.AverageWalkSpeed,Values for maximum and minimum walk speed can be adjusted.,,,,,,,,,,,,,,,535,,,,,,,
,,,,,,,,,,,,,,,,,,536,,,,,,,
,,findit.rule.title.heartrate,HeartRate,,,,,,,,,,,,,,,537,,,,,,,
,,findit.rule.description.heartrate,Triggers when heartrate is above threshold,,,,,,,,,,,,,,,538,,,,,,,
,,findit.rule.activation.heartrate,Specify heartrate threshold,,,,,,,,,,,,,,,539,,,,,,,
,,,,,,,,,,,,,,,,,,540,,,,,,,
,,findit.rule.title.paralyzed,Paralyzed,,,,,,,,,,,,,,,541,,,,,,,
,,findit.rule.description.paralyzed,Triggers when heartrate is above threshold and activity is below threshold,,,,,,,,,,,,,,,542,,,,,,,
,,findit.rule.activation.paralyzed,Specify heartrate threshold and activity threshold (0-3),,,,,,,,,,,,,,,543,,,,,,,
,,,,,,,,,,,,,,,,,,544,,,,,,,
,,Elkotek specific rules,,,,,,,,,,,,,,,,545,,,,,,,
,,findit.rule.title.send_command_rule,Activate unit,,,,,,Aktiver enhet,,,,,,,,,546,,,,,,,
,22/10/2014,findit.rule.description.send_command_rule,Sends ''Wake up'' command to the GL505 unit when it´s active and wake it up and opens up for communication.,,,,,,Sender ´Vekk opp´ kommando til GL505 enheten når enheten er aktiv og vekker den slik at den er åpen for kommunikasjon.,,,,,,,,,547,,,,,,,
,22/10/2014,findit.rule.title.send_command_rule,Activate GL505 from Power Save,,,,,,Aktiver GL505 fra strømsparemodus,,,,,,,,,548,,,,,,,
,,,,,,,,,Tryggi alarm,,,,,,,,,549,,,,,,,
,,findit.rule.title.safetyalarm_event_Tryggi_alarm,Tryggi Alarm,,,,,,Tryggi alarmerer ved å blinke rødt i 30 sek,,,,,,,,,550,,,,,,,
,,findit.rule.description.safetyalarm_event_Tryggi_alarm,Tryggi alarms by flashing red for 30 sec,,,,,,Tryggi aktiveres på konfigurert bruker,,,,,,,,,551,,,,,,,
,,findit.rule.activation.safetyalarm_event_Tryggi_alarm,Tryggi is activiated on configured user,,,,,,,,,,,,,,,552,,,,,,,
,,,,,,,,,,,,,,,,,,553,,,,,,,
,,findit.rule.title.indoorLocation.out,Indoor Location Exit Alarm,,,,,,Innendørs lokasjon utgangsalarm,,,,,,,,,554,,,,,,,
,,findit.rule.description.indoorLocation.out,Alarm when the asset is outside permitted indoor location,Alarm when the patient is outside permitted indoor location.,Alarm when the person is outside permitted indoor location,Alarmeert wanneer het object buiten het toegestane gebied komt,Alarmeert wanneer de patient buiten het toegestane gebied komt,Alarmeert wanneer de persoon buiten het toegestane gebied komt,Alarm når en eiendel er utenfor tillatt innendørslokasjon,Alarm når pasienten er utenfor tillatt innendørslokasjon.,Alarm når personen er utenfor tillatt innendørssone ,Larm när ett föremål är utanför tillåten zon,Larm när en patient är utanför tillåten zon,Larm när en person är utanför tillåten zon,在允许区域外时的警报,,,555,,,"Alarmiert, wenn das Objekt außerhalb des Gebäudes ist.",,,,
,,findit.rule.activation.indoorLocation.out,"To activate this rule, specify the controlled location. ","To activate this rule the controlled indoor location, the patient group and the time delay must be specified. ","To activate this rule the indoor location, the personnel group and the time delay must be specified. ","Om deze regel te activeren, geeft u de geofence zone aan.","Als u deze regel activeren van de geofenced zone, moet de patient groep en de vertraging worden gespecificeerd.","Als u deze regel activeren van de geofenced zone, moet de personeel groep en de vertraging worden gespecificeerd.",For å aktivere denne regelen må det spesifiseres den innendørssonen som skal overvåkes.,"For å aktivere denne regelen må det spesifiseres den innendørslokasjonen som skal overvåkes og hvilken pasientgruppe dette gjelder, samt tiden en eiendel må være utenfor lokasjonen før alarmen aktiveres.","For å aktivere denne regelen må det spesifiseres den innendørslokasjonen som skal overvåkes og hvilken personellgruppe dette gjelder,  samt tiden personellet må være utenfor lokasjonen før alarmen aktiveres.",För att aktivera denna regeln måste det specificeras vilken zon som skall övervakas,För att aktivera denna regeln måste det specificeras vilken zon som skall övervakas och vilken patientgrupp detta gäller,För att aktivera denna regeln måste det specificeras vilken insom skall övervakas och vilken persongrupp detta gäller,要激活这个规则，制定地理围栏的区域。,,,556,,,"Um diese Regel zu aktivieren, geben sie die zu kontrollierenze Zone an.",,,,
,,,,,,,,,,,,,,,,,,557,,,,,,,
,,findit.rule.title.indoorLocation.in,Indoor Location Entrance Alarm,,,,,,Innendørs lokasjon ingangsalarm,,,,,,,,,558,,,,,,,
